City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
290,Piacabucu,BR,-10.4056,-36.4344,75.74,84,98,9.37,overcast clouds
291,Norman Wells,CA,65.282,-126.8329,17.64,93,75,6.91,broken clouds
292,Altay,CN,47.8667,88.1167,42.82,44,88,4.05,overcast clouds
293,Almaznyy,RU,48.0448,40.045,47.41,86,100,7.92,overcast clouds
294,Fernley,US,39.608,-119.2518,50.02,53,21,3.47,few clouds
295,Kloulklubed,PW,7.0419,134.2556,81.1,78,100,20.31,moderate rain
296,Kudahuvadhoo,MV,2.6708,72.8944,82.13,75,43,9.28,scattered clouds
297,Qiongshan,CN,20.0058,110.3542,82.38,69,75,17.9,broken clouds
298,Natal,BR,-5.795,-35.2094,77.65,78,75,6.91,broken clouds
299,Togur,RU,58.3631,82.8265,33.28,70,100,9.42,overcast clouds
300,Odweyne,SO,9.4092,45.064,72.18,71,5,1.05,clear sky
301,Wilmington Island,US,32.0036,-80.9737,69.98,73,20,4.61,few clouds
302,Dingle,PH,10.9995,122.6711,84.65,76,100,13.42,light rain
303,Yulara,AU,-25.2406,130.9889,85.15,16,0,11.72,clear sky
304,Vanavara,RU,60.34,102.2797,32.45,62,87,12.21,overcast clouds
305,Rio Gallegos,AR,-51.6226,-69.2181,46.45,66,0,19.57,clear sky
306,Gaoua,BF,10.2992,-3.2508,75.81,60,100,4.99,overcast clouds
307,Tarakan,ID,3.3,117.6333,83.7,79,40,5.75,light rain
308,Peniche,PT,39.3558,-9.3811,64.11,94,4,11.95,clear sky
309,San Cristobal,VE,7.7669,-72.225,66.38,99,100,2.35,light rain
310,Westport,US,41.1415,-73.3579,66.61,91,100,4.61,mist
311,Marsa Matruh,EG,31.3525,27.2453,68.2,68,0,5.32,clear sky
312,Caceres,ES,39.522,-6.3748,59.05,84,71,3.87,broken clouds
313,Zemio,CF,5.0314,25.1361,67.66,95,100,0.43,overcast clouds
314,Cookeville,US,36.1628,-85.5016,61.79,86,100,10.36,overcast clouds
315,Kulhudhuffushi,MV,6.6221,73.07,81.7,75,59,6.46,broken clouds
316,Aksu,CN,41.1231,80.2644,55.54,25,100,1.45,overcast clouds
317,Road Town,VG,18.4167,-64.6167,80.69,81,100,11.34,overcast clouds
318,Cadillac,US,44.2519,-85.4012,54.79,100,100,10.36,moderate rain
319,Abonnema,NG,4.7084,6.7931,73.69,94,88,2.44,overcast clouds
320,Sorland,NO,67.667,12.6934,44.46,70,100,6.38,overcast clouds
321,Luebo,CD,-5.35,21.4167,70.25,99,100,2.28,light rain
322,Malpe,IN,13.35,74.7167,81.7,62,9,3.4,clear sky
323,Kvarkeno,RU,52.0833,59.725,29.32,84,99,18.16,overcast clouds
324,Lebu,CL,-37.6167,-73.65,54.03,98,100,8.43,overcast clouds
325,Te Anau,NZ,-45.4167,167.7167,55.58,68,100,5.21,overcast clouds
326,Hanzhong,CN,33.0728,107.0303,62.94,78,99,3.42,overcast clouds
